Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method
8.89E+12,ASTOR WAFER STICK PACK, Household,Tin,25,32,5, No Tax, exclusive
8.89E+12,ASTOR WAFER STICKS CAN 330G, Household,Tin,30,31,5, No Tax, exclusive
5.01E+12,ASTRAL FACE & BODY MOISTURIZER 500ML, Household,Tin,0,0,5, No Tax, exclusive
6.92E+12,ATLANTA MACKEREL 425G, Household,Tin,5,5.5,5, No Tax, exclusive
6.11E+12,ATLANTA SARDINE, Household,Tin,2.5,3,5, No Tax, exclusive
8.69E+12,ATLANTA SPAGHETTI 500G, Household,Tin,4,5,5, No Tax, exclusive
30000053201,AUNT JEMIMA PANCAKE MIX 907G, Household,Tin,35,36.5,5, No Tax, exclusive
41498131012,AUNT MAPLES BUTTERMILK 907G, Household,Tin,18,20,5, No Tax, exclusive
41498122300,AUNT MAPLE'S SYRUP ORIGINAL 710ML, Household,Tin,21,22,5, No Tax, exclusive
60182,AURORA CHICKEN BREAST 2KG, Household,Tin,52,53,5, No Tax, exclusive
60183,AURORA FULL CHICKEN 2KG, Household,Tin,23,24,5, No Tax, exclusive
6.04E+12,AVA VIRGIN COCONUT PREMIUM OIL 500ML, Household,Tin,25,26.5,5, No Tax, exclusive
60171,AWAKE DRINKING WATER 1.5L BOX, Household,Tin,17,18,5, No Tax, exclusive
60170,AWAKE DRINKING WATER 500ML BOX, Household,Tin,16,17,5, No Tax, exclusive
2.45E+12,AWAKE DRINKING WATER 500ML PK 12, Household,Tin,7,10,5, No Tax, exclusive
6.03E+12,AWAKE DRINKING WATER PCS, Household,Tin,1,1.5,5, No Tax, exclusive
60178,AWAKE WATER PK OF 15, Household,Tin,12,13,5, No Tax, exclusive
33844002220,BADIA ANISE SEED 49.6G, Household,Tin,10,12,5, No Tax, exclusive
33844006914,Badia Cajun 78g, Household,Tin,10,12,5, No Tax, exclusive
33844000158,Badia cinnamon Powder 56.7g, Household,Tin,10,12,5, No Tax, exclusive
33844003180,Badia cinnamon sticks 85.1g, Household,Tin,22,23,5, No Tax, exclusive
33844002183,Badia cloves 35.4g, Household,Tin,10,12,5, No Tax, exclusive
33844002619,BADIA COCONUT MILK 400ML, Household,Tin,8,11,5, No Tax, exclusive
33844002404,BADIA COCONUT WATER  310ML, Household,Tin,5,8,5, No Tax, exclusive
33844005511,Badia complete seasoning (793.8g), Household,Tin,40,44,5, No Tax, exclusive
33844000080,Badia complete seasoning (99.2g), Household,Tin,10,13,5, No Tax, exclusive
33844002121,Badia curry powder 198.5g, Household,Tin,12,16,5, No Tax, exclusive
33844005177,Badia curry powder 453.6g, Household,Tin,26,31,5, No Tax, exclusive
33844001988,Badia Fried Rice 170.1g, Household,Tin,10,14,5, No Tax, exclusive
33844007430,Badia Garam Masala 120.5g, Household,Tin,10,14,5, No Tax, exclusive
33844005245,Badia granulated garlic (680.4g), Household,Tin,70,78,5, No Tax, exclusive
33844004484,BADIA GROUND BLACK PEPPER 56.7G, Household,Tin,12,13,5, No Tax, exclusive
33844105433,Badia ground black pepper(453.6g), Household,Tin,55,58,5, No Tax, exclusive
33844006686,Badia ground coriander (396.9g), Household,Tin,22,23,5, No Tax, exclusive
33844000073,BADIA GROUND CUMIN 56.7G, Household,Tin,8,9,5, No Tax, exclusive
33844002237,Badia Ground Ginger 42.5g, Household,Tin,6,8,5, No Tax, exclusive
33844002176,Badia Ground nutmeg 56.7g, Household,Tin,10,12,5, No Tax, exclusive
33844001179,Badia jollof rice (793.8g), Household,Tin,35,40,5, No Tax, exclusive
33844001995,Badia jollof rice 163g, Household,Tin,10,14,5, No Tax, exclusive
33844000035,Badia onion powder 269.3G, Household,Tin,16,19,5, No Tax, exclusive
33844000066,Badia Onion Powder 78.0g, Household,Tin,5,8,5, No Tax, exclusive
33844005405,BADIA OREGANO SPICE 155.6G, Household,Tin,20,21,5, No Tax, exclusive
33844005412,Badia paprika 453.6G, Household,Tin,43,44,5, No Tax, exclusive
33844000110,Badia paprika 56.7g, Household,Tin,12,13,5, No Tax, exclusive
33844007881,Badia rainbow sprinkles 680.4g, Household,Tin,40,45,5, No Tax, exclusive
33844002732,Badia rainbow sprinkles 85.05g, Household,Tin,10,12,5, No Tax, exclusive
33844001070,BADIA RED PEPPER 127.6G, Household,Tin,10,14,5, No Tax, exclusive
33844001087,BADIA ROTISSERIE 297.7G, Household,Tin,20,25,5, No Tax, exclusive
33844007263,BADIA ROTISSERIE 623.7G, Household,Tin,50,58,5, No Tax, exclusive
33844009618,Badia Sazon tropical (793.8g), Household,Tin,45,46,5, No Tax, exclusive
33844008390,Badia sea salt (1.13kg), Household,Tin,25,30,5, No Tax, exclusive
33844007270,Badia steak seasoning (793.8), Household,Tin,53,54,5, No Tax, exclusive
33844005627,Badia thyme leaves 226.8G, Household,Tin,30,31,5, No Tax, exclusive
33844001124,Badia white pepper (255.1), Household,Tin,47,48,5, No Tax, exclusive
33844002169,BADIA WHITE PEPPER 56.7G, Household,Tin,10,15,5, No Tax, exclusive
33844009151,BADIA WHITE VINEGAR 3.78L, Household,Tin,32,33,5, No Tax, exclusive
