Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
546444444444432,AQUA FILL BABY SIZE, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
60084,AQUA FILL BOX 500ML, Household,Tin,15,17,5, No Tax, exclusive,,,,,,,,
60181,AQUA FILL WATER 500ML PCS, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
5000347000898,AQUA FRESH EXTRA WHITE PASTE 75ML, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
6001076001032,AQUA FRESH MILD MINTY 100ML, Household,Tin,0,7,5, No Tax, exclusive,,,,,,,,
60011,AQUAFILL DISPENSER BOTTLE, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
6920151130811,ARABE PLASTIC PLATES 25PCS, Household,Tin,15,16,5, No Tax, exclusive,,,,,,,,
4084500406315,ARIEL PROFESSIONAL COLOUR 5.005L, Household,Tin,115,116,5, No Tax, exclusive,,,,,,,,
4084500951952,ARIEL PROFESSIONAL LIQUID 5L, Household,Tin,115,116,5, No Tax, exclusive,,,,,,,,
8001090395061,ARIEL PROFESSIONAL POWDER 7.150KG, Household,Tin,165,166,5, No Tax, exclusive,,,,,,,,
8001090313539,ARIEL WASHING POWDER 1KG, Household,Tin,14,15,5, No Tax, exclusive,,,,,,,,
8001090313508,ARIEL WASHING POWDER 500G, Household,Tin,7.5,8,5, No Tax, exclusive,,,,,,,,
5410076898909,ARIEL WASHING POWDER 90G, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
613008724221,ARIZONA GREEN TEA 473ML, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
033200011101,ARM & HAMMER BAKING SODA 454G, Household,Tin,10,13,5, No Tax, exclusive,,,,,,,,
27192917,ASDA LONG LIFE WHOLE MILK 1L, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
5060060210646,ASTONISH CLEAN N PROTECT 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
048256245455,ASTONISH COCONUT 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
5.0600602106e+012,ASTONISH HANDWASH 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
48256245455,ASTONISH HANDWASH COCONUT 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
48256245509,ASTONISH HANDWASH MILK & HONEY 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
5060060210080,ASTONISH HANDWASH SILKE SOFT 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
048256245509,ASTONISH MILK N HONEY 500ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
5060060211209,ASTONISH STARCH SPRAY 750ML, Household,Tin,7,8,5, No Tax, exclusive,,,,,,,,
5060060211223,ASTONISH WINDOW & GLASS 750ML, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
5060060210219,ASTONISH WINDOW & GLASS CLEANER 750ML, Household,Tin,9,10,5, No Tax, exclusive,,,,,,,,
8886001026056,ASTOR WAFER STICK 40G PCS, Household,Tin,2.25,3.5,5, No Tax, exclusive,,,,,,,,
8886001026056,ASTOR WAFER STICK PACK, Household,Tin,25,32,5, No Tax, exclusive,,,,,,,,
8886001038028,ASTOR WAFER STICKS CAN 330G, Household,Tin,30,31,5, No Tax, exclusive,,,,,,,,
5011784080114,ASTRAL FACE & BODY MOISTURIZER 500ML, Household,Tin,0,0,5, No Tax, exclusive,,,,,,,,
6920160707011,ATLANTA MACKEREL 425G, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
6111248550012,ATLANTA SARDINE, Household,Tin,2.5,3,5, No Tax, exclusive,,,,,,,,
8693722006980,ATLANTA SPAGHETTI 500G, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
030000053201,AUNT JEMIMA PANCAKE MIX 907G, Household,Tin,35,36.5,5, No Tax, exclusive,,,,,,,,
041498131012,AUNT MAPLES BUTTERMILK 907G, Household,Tin,18,20,5, No Tax, exclusive,,,,,,,,
041498122300,AUNT MAPLE'S SYRUP ORIGINAL 710ML, Household,Tin,21,22,5, No Tax, exclusive,,,,,,,,
60182,AURORA CHICKEN BREAST 2KG, Household,Tin,52,53,5, No Tax, exclusive,,,,,,,,
60183,AURORA FULL CHICKEN 2KG, Household,Tin,23,24,5, No Tax, exclusive,,,,,,,,
6036000051418,AVA VIRGIN COCONUT PREMIUM OIL 500ML, Household,Tin,25,26.5,5, No Tax, exclusive,,,,,,,,
60171,AWAKE DRINKING WATER 1.5L BOX, Household,Tin,17,18,5, No Tax, exclusive,,,,,,,,
60170,AWAKE DRINKING WATER 500ML BOX, Household,Tin,16,17,5, No Tax, exclusive,,,,,,,,
2452525141222,AWAKE DRINKING WATER 500ML PK 12, Household,Tin,7,10,5, No Tax, exclusive,,,,,,,,
6034000083545,AWAKE DRINKING WATER PCS, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
60178,AWAKE WATER PK OF 15, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
33844002220,BADIA ANISE SEED 49.6G, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
033844006914,Badia Cajun 78g, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
33844000158,Badia cinnamon Powder 56.7g, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
033844003180,Badia cinnamon sticks 85.1g, Household,Tin,22,23,5, No Tax, exclusive,,,,,,,,
33844002183,Badia cloves 35.4g, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
033844002619,BADIA COCONUT MILK 400ML, Household,Tin,8,11,5, No Tax, exclusive,,,,,,,,
033844002404,BADIA COCONUT WATER  310ML, Household,Tin,5,8,5, No Tax, exclusive,,,,,,,,
33844005511,Badia complete seasoning (793.8g), Household,Tin,40,44,5, No Tax, exclusive,,,,,,,,
33844000080,Badia complete seasoning (99.2g), Household,Tin,10,13,5, No Tax, exclusive,,,,,,,,
033844002121,Badia curry powder 198.5g, Household,Tin,12,16,5, No Tax, exclusive,,,,,,,,
033844005177,Badia curry powder 453.6g, Household,Tin,26,31,5, No Tax, exclusive,,,,,,,,
033844001988,Badia Fried Rice 170.1g, Household,Tin,10,14,5, No Tax, exclusive,,,,,,,,
033844007430,Badia Garam Masala 120.5g, Household,Tin,10,14,5, No Tax, exclusive,,,,,,,,
033844005245,Badia granulated garlic (680.4g), Household,Tin,70,78,5, No Tax, exclusive,,,,,,,,
033844004484,BADIA GROUND BLACK PEPPER 56.7G, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
033844105433,Badia ground black pepper(453.6g), Household,Tin,55,58,5, No Tax, exclusive,,,,,,,,
033844006686,Badia ground coriander (396.9g), Household,Tin,22,23,5, No Tax, exclusive,,,,,,,,
033844000073,BADIA GROUND CUMIN 56.7G, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
